Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
HelpAround Medical,https://www.crunchbase.com/organization/helparound,"Health Care, Health Diagnostics, mHealth, Pharmaceutical","Bethesda, Maryland, United States","Imagine a world where onboarding complex therapies is predictable and straight forward.  HelpAround Medical is a patient onboarding network that preempts therapy drop-offs, by digitizing specialty drug manufacturers' patient support programs.","32,328",6,6000000,USD,6000000,11210000,USD,11210000
Sympatient,https://www.crunchbase.com/organization/sympatient,"Health Care, mHealth, Psychology, Therapeutics, Virtual Reality","Hamburg, Hamburg, Germany",Sympatient is building the first digital anxiety clinic.,"32,629",2,1400000,EUR,1710450,3000000,EUR,3483050
Playbrush,https://www.crunchbase.com/organization/playbrush,"Consumer Electronics, Health Care, mHealth, Wellness","London, England, United Kingdom",Playbrush is a technology company that digitalises oral care for children.,"33,191",4,750000,EUR,868731,3820333,USD,3820333
BaseHealth,https://www.crunchbase.com/organization/basehealth,"Artificial Intelligence, Health Care, Machine Learning, Medical, mHealth, Software","Sunnyvale, California, United States",BaseHealth is a predictive health platform that is evidence-based and data-driven without reliance on retrospective claims and ICD data.,"33,259",5,8500000,USD,8500000,17559271,USD,17559271
Clinia,https://www.crunchbase.com/organization/clinia,"Health Care, Health Insurance, mHealth, Software","Montréal, Quebec, Canada",Clinia is a health search engine built for healthcare organizations to streamline operational workflows and improve patient navigation.,"33,538",4,4300000,CAD,3359629,4507636,USD,4507636
Telcare,https://www.crunchbase.com/organization/telcare,"Biotechnology, Health Care, Medical Device, mHealth, Robotics, Wireless","Malvern, Pennsylvania, United States",Telcare develops machine-2-machine cellular technology that wirelessly connects patients and physicians to cure chronic illnesses.,"33,826",4,32500000,USD,32500000,63460000,USD,63460000
CareSkore,https://www.crunchbase.com/organization/careskore,"Analytics, Big Data, Consulting, Health Care, Information Technology, mHealth, Mobile, Predictive Analytics, SaaS, Software","Mountain View, California, United States",AI based Patient engagement 2.0,"34,001",2,4300000,USD,4300000,4420000,USD,4420000
TrueVault,https://www.crunchbase.com/organization/truevault,"Cloud Computing, Enterprise Software, mHealth, Security","Palo Alto, California, United States",TrueVault is the first data security company focusing on protecting Personally Identifiable Information,"34,123",3,3717000,USD,3717000,6217000,USD,6217000
Clinicloud,https://www.crunchbase.com/organization/clinicloud,"Health Care, Health Diagnostics, Internet of Things, mHealth","San Francisco, California, United States",CliniCloud is a revolutionary connected medical kit designed for home use.,"34,346",1,5000000,USD,5000000,5000000,USD,5000000
Benovymed Healthcare,https://www.crunchbase.com/organization/benovymed-healthcare,"Artificial Intelligence, Blockchain, Cloud Computing, Health Care, Information Technology, mHealth, Mobile, Mobile Apps, Robotics","Delhi, Delhi, India","Benovymed Healthcare is World's Top 20 & India's No:1 Most Impactful DeepTech Startup in Digital Health, AI Health & Telemedicine Innovation","34,619",2,2000000,USD,2000000,4500000,USD,4500000
Aural Analytics,https://www.crunchbase.com/organization/aural-analytics,"Artificial Intelligence, Health Care, Health Diagnostics, Home Health Care, Machine Learning, mHealth, Mobile Devices","Scottsdale, Arizona, United States",We build applications that use speech to detect subtle changes in brain health.,"34,706",4,4300000,USD,4300000,4650000,USD,4650000
Sickweather,https://www.crunchbase.com/organization/sickweather,"Big Data, mHealth, Predictive Analytics, Social Media","Kansas City, Missouri, United States",Sickweather is a developer of an artificial-intelligence-based sickness forecasting and mapping application.,"35,030",8,1097661,USD,1097661,2587661,USD,2587661
SonderMind,https://www.crunchbase.com/organization/sondermind,"Health Care, mHealth, Therapeutics, Wellness","Denver, Colorado, United States","SonderMind is a digital health and telehealth company redesigning behavioral health to become more accessible, approachable, and utilized.","35,450",5,150000000,USD,150000000,183035000,USD,183035000
Senscio Systems,https://www.crunchbase.com/organization/senscio-systems,"Health Care, mHealth","Boxborough, Massachusetts, United States",Senscio Systems specializes in providing automated chronic health management support.,"35,512",8,1900000,USD,1900000,10747863,USD,10747863
Arctop,https://www.crunchbase.com/organization/arctop,"Assisted Living, Automotive, Elder Care, Home Health Care, mHealth, Personal Health, Productivity Tools, Virtual Reality, Virtual Workforce, Wellness","San Francisco, California, United States",Arctop provides neural interface technology that analyzes brain signals and produces an accurate measure of the mind in real-time.,"35,998",2,4000000,USD,4000000,5000000,USD,5000000
Healo,https://www.crunchbase.com/organization/healo,"Health Care, Home Health Care, Medical Device, mHealth, Outpatient Care, Personal Health, Therapeutics","Lund, Skane Lan, Sweden",Superpowering Adherence and Self-efficacy through digital patient support programs and customised digital therapeutics,"36,018",5,2000000,EUR,2318789,4293789,USD,4293789
CleanSlate UV,https://www.crunchbase.com/organization/cleanslate-uv,"Biotechnology, Electronics, Medical Device, mHealth","Toronto, Ontario, Canada","CleanSlate UV disinfects phones, tablets & other mobile devices in 30 seconds, preventing the spread of bacteria & keeping devices clean.","36,063",6,300000,USD,300000,8781629,USD,8781629
Data Driven Delivery System,https://www.crunchbase.com/organization/data-driven-delivery-system,"Health Care, Medical, mHealth","New York, New York, United States",Data Driven Delivery Systems provides a full suite of management services for physicians to deliver improved patient care.,"36,351",3,60800000,USD,60800000,66925000,USD,66925000
STYR,https://www.crunchbase.com/organization/styr-labs-inc,"Fitness, Health Care, mHealth, Nutrition","Scottsdale, Arizona, United States","STYR is a personalized nutrition as a service app that syncs to connected devices to track activity, hydration and body composition.","36,357",2,5000000,USD,5000000,5500000,USD,5500000
UpHill,https://www.crunchbase.com/organization/uphill,"Health Care, Medical Device, mHealth","Lisbon, Lisboa, Portugal",The pathway to the best care,"36,432",3,3500000,EUR,4134022,4150000,EUR,4869087
MDLIVE,https://www.crunchbase.com/organization/mdlive,"Health Care, Hospital, Medical, mHealth, Virtual Workforce","Miramar Beach, Florida, United States",MDLIVE is a telehealth provider of online and on-demand healthcare delivery services and software.,"37,082",5,50000000,USD,50000000,198600000,USD,198600000
Strive Health,https://www.crunchbase.com/organization/strive-health,"Health Care, Information Technology, Medical, mHealth","Denver, Colorado, United States",Strive Health is a provider of care delivery models aimed at improving chronic kidney disease care.,"37,338",2,140000000,USD,140000000,220000000,USD,220000000
Medesk,https://www.crunchbase.com/organization/medesk,"Computer, Health Care, Information Technology, mHealth, SaaS, Software","London, England, United Kingdom","Medesk is medical SaaS that makes work with patients and medical data easier for practitioners, receptionists and practice managers.","37,514",5,600000,USD,600000,3200000,USD,3200000
Comedi Health Technology Limited,https://www.crunchbase.com/organization/comedi-health-technology-limited,"Artificial Intelligence, Health Care, Image Recognition, Machine Learning, Medical, Medical Device, mHealth","Hong Kong, Hong Kong Island, Hong Kong",Comedi Health is a platform that provides telemedicine services by using innovative computer vision and deep learning technologies.,"38,323",1,5000000,USD,5000000,5000000,USD,5000000
Fathom AI,https://www.crunchbase.com/organization/Fathom-ai,"Fitness, Machine Learning, mHealth, Software, Wellness","Durham, North Carolina, United States",Fathom is a wearable AI platform that personalizes your athletic training to your biomechanical needs.,"38,440",4,,,,3010001,USD,3010001
Olive Union,https://www.crunchbase.com/organization/olive-union,"Consumer Electronics, Health Care, Medical Device, mHealth","Tokyo, Tokyo, Japan",Olive Union is a smart-hearing aid that prevents further hearing loss through digital therapeutics for tinnitus and overall hearing health.,"38,582",3,7000000,USD,7000000,17141232,USD,17141232
Orb Health,https://www.crunchbase.com/organization/orb-health,"Cloud Data Services, Health Care, Medical, mHealth, Wearables","Richardson, Texas, United States",High-performance delivery of reimbursed Medicare services such as Chronic Care Management and more as a virtual extension of your practice.,"38,614",4,7033191,USD,7033191,10913191,USD,10913191
UltraSight,https://www.crunchbase.com/organization/on-sight-b615,"Health Care, Medical Device, mHealth","Rehovot, HaMerkaz, Israel",UltraSight aims to revolutionize ultrasound through the power of machine learning to enable more accurate and timely clinical decisions.,"38,652",2,13000000,USD,13000000,15000000,USD,15000000
Intendu,https://www.crunchbase.com/organization/intendu,"Biotechnology, Education, Fitness, Health Care, Health Diagnostics, Home Health Care, Medical Device, mHealth, Rehabilitation, Wellness","Tel Aviv, Tel Aviv, Israel",Intendu is a digital health company that delivers science-based cognitive training for brain dysfunction.,"38,666",5,,,,3350000,USD,3350000
ExsoMed,https://www.crunchbase.com/organization/exsomed,"Biotechnology, Health Care, Manufacturing, Medical Device, mHealth","Aliso Viejo, California, United States","Exsomed develops minimally-invasive, innovative solutions to enhance extremity implant procedures.","38,675",2,,,,6750000,USD,6750000
Olio,https://www.crunchbase.com/organization/oliohealth,"Health Care, Home Health Care, Information Technology, Medical, mHealth, Wellness","Indianapolis, Indiana, United States",Olio is the only collaboration platform to digitally connect acute and post-acute providers by specialty.,"38,736",1,2500000,USD,2500000,2500000,USD,2500000
Axenya,https://www.crunchbase.com/organization/axenya,"Health Care, Medical, mHealth","Montevideo, NA - Uruguay, Uruguay",Axenya is a digital health platform company.,"39,157",2,3000000,USD,3000000,4000000,USD,4000000
Oxitone Medical,https://www.crunchbase.com/organization/oxitone,"Artificial Intelligence, Health Care, Home Health Care, Medical Device, mHealth, Wearables","Kfar Saba, HaMerkaz, Israel","Oxitone is a medtech and digital health company that enables its customers to provide hyper-personalized, AI-powered remote continuous care.","40,382",5,1000000,USD,1000000,10462624,USD,10462624
MX Labs,https://www.crunchbase.com/organization/mx-labs,"Health Diagnostics, Home Health Care, Medical Device, mHealth, Personal Health, Software","Tallinn, Harjumaa, Estonia",Camera-based platform for acquisition and analysis of vital signs.,"40,653",2,2000000,USD,2000000,2500000,USD,2500000
Iagnosis,https://www.crunchbase.com/organization/iagnosis,"Health Care, mHealth, Wellness","Pittsburgh, Pennsylvania, United States","Iagnosis provides industry-leading teledermatology solutions for dermatology providers, practices and the health system value chain.","40,776",7,2069159,USD,2069159,16977531,USD,16977531
Spine Wave,https://www.crunchbase.com/organization/spine-wave,"Emergency Medicine, Health Care, Manufacturing, Medical Device, mHealth","Shelton, Connecticut, United States",Spine Wave engages in developing and marketing medical devices for the treatment of spinal disorders.,"41,020",8,5300498,USD,5300498,145450498,USD,145450498
Biloba,https://www.crunchbase.com/organization/biloba,"Consumer Applications, Health Care, mHealth, Mobile Apps, Personal Health","Paris, Ile-de-France, France",Medical assistance for parenthood.,"41,033",2,1400000,EUR,1673840,2600000,EUR,3058048
moveUP,https://www.crunchbase.com/organization/moveup,"Health Care, Medical, Medical Device, mHealth, Therapeutics","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Digital Therapeutics,"41,212",1,3650000,EUR,4458287,3650000,EUR,4458288
MMG - dezzai,https://www.crunchbase.com/organization/medlab-media-group,"Artificial Intelligence, Business Intelligence, Health Care, Information Technology, Machine Learning, Medical, mHealth, Semantic Search","Madrid, Madrid, Spain","MMG develops A.I. solutions that allow individuals and institutions to access, discover, and exchange knowledge to make better decisions.","41,282",2,10500000,EUR,11197205,12500000,EUR,13468998
Voalte,https://www.crunchbase.com/organization/voalte,"Health Care, Information Technology, mHealth, Mobile, Professional Services, Software","Sarasota, Florida, United States",Voalte is a healthcare technology company that develops smartphone communication alternatives to help improve care coordination.,"41,388",4,17000000,USD,17000000,54700000,USD,54700000
Beam Dental,https://www.crunchbase.com/organization/beam-technologies,"Dental, Insurance, Loyalty Programs, mHealth","Columbus, Ohio, United States",Beam Dental is a digital provider of dental benefits that focuses on preventative care and rewards for oral hygiene practices.,"41,855",7,80000000,USD,80000000,168430000,USD,168430000
SteadySense,https://www.crunchbase.com/organization/steadysense,"Artificial Intelligence, Fertility, Health Care, Medical, Medical Device, mHealth, Personal Health, Software, Wearables, Women's","Graz, Steiermark, Austria",SteadySense is an innovative start-up that aims to set new standards in medical data collection.,"42,541",1,6000000,EUR,6755341,6000000,EUR,6755342
"HealthExpense, Inc.",https://www.crunchbase.com/organization/healthexpense-inc-,"Consumer, Enterprise Software, FinTech, Health Care, Information Technology, mHealth, Mobile Payments, Payments, SaaS","Sunnyvale, California, United States",HealthExpense.com simplifies consumer driven health plan reimbursements and payments.,"42,894",2,6250000,USD,6250000,8250000,USD,8250000
Umedeor,https://www.crunchbase.com/organization/umedeor,"Health Care, Information Technology, Life Science, Medical, mHealth, Software","London, England, United Kingdom",uMed enables healthcare providers to run patient research more efficiently through automating the clinical studies process,"43,479",3,4800000,USD,4800000,5900000,USD,5900000
CellScope,https://www.crunchbase.com/organization/cell-scope,"Hardware, Health Care, Information Technology, mHealth, Software, Telecommunications","San Francisco, California, United States","CellScope is building a smartphone-enabled diagnostic toolkit to help patients get better answers, faster.","43,837",3,3500000,USD,3500000,5620000,USD,5620000
Telos Health Solutions,https://www.crunchbase.com/organization/telos-health-solutions,"Health Care, Home Health Care, Information Technology, mHealth, Software","Dallas, Texas, United States",We help care providers implement virtual care oversight solutions that improve patient outcomes & satisfaction.,"44,329",1,2500000,USD,2500000,2500000,USD,2500000
Tuli Health,https://www.crunchbase.com/organization/tuli-health,"Health Care, mHealth, Pharmaceutical, Wellness","London, England, United Kingdom",Tuli Health is a digital health platform that provides instant access to private medical appointments and testing.,"44,786",2,2500000,USD,2500000,2625000,USD,2625000
Iris Plans,https://www.crunchbase.com/organization/iris-plans,"Health Care, mHealth, Personalization","Austin, Texas, United States","Iris Plans is a tech-enabled service that provides ACP, or “healthcare planning,” to people with serious medical conditions.","44,978",3,3750000,USD,3750000,9700000,USD,9700000
Ascellus,https://www.crunchbase.com/organization/ascellus,"Health Care, mHealth, Personal Health","St. Petersburg, Florida, United States",Ascellus is a behavioral health provider that helps injured workers restore their physical and emotional wellbeing.,"45,871",1,8000000,USD,8000000,8000000,USD,8000000
Bruin Biometrics,https://www.crunchbase.com/organization/bruin-biometrics,"Hardware, Health Care, Health Diagnostics, Information Technology, mHealth","Los Angeles, California, United States",A pioneer in biometric-sensor based medical devices; committed to earlier diagnosis and targeted intervention for chronic conditions,"45,876",3,1400000,USD,1400000,20400000,USD,20400000
Uplyfe Health,https://www.crunchbase.com/organization/uplyfe,"Artificial Intelligence, Health Care, Home Health Care, Medical Device, mHealth, Mobile Apps, Personal Health","Zurich, Zurich, Switzerland","Uplyfe is an AI-enabled self-learning digital health app with 28 unprecedented, holistic health plans to save and avoid health risk and cost","46,433",2,750000,CHF,814674,3050000,CHF,3111416
Speedoc,https://www.crunchbase.com/organization/speedoc,"Health Care, Home Health Care, Hospital, Information Technology, Medical, mHealth","Singapore, Central Region, Singapore",Speedoc is a virtual clinic and healthcare solutions platform that allows users to seek medical care and services from home.,"46,500",5,15000000,USD,15000000,21728177,USD,21728177
Prehos,https://www.crunchbase.com/organization/prehos,"Health Care, Information Technology, Medical, mHealth","Québec, Quebec, Canada","Saas solutions for emergency medical services, community paramedicine, care management and patient transportation planning and optimization.","47,030",3,7200000,CAD,5665209,9535000,CAD,7493505
Gramercy Extremity Orthopedics,https://www.crunchbase.com/organization/gramercy-extremity-orthopedics,"Biotechnology, Health Care, Medical Device, mHealth","Richardson, Texas, United States","Gramercy Extremity Orthopedics specializes in providing inventory management, foot and ankle, implants, and product development.","47,625",2,9830000,USD,9830000,18664613,USD,18664613
Taliaz,https://www.crunchbase.com/organization/taliaz,"Artificial Intelligence, Bioinformatics, Health Care, Health Diagnostics, Machine Learning, Medical, mHealth, Personal Health, Predictive Analytics, Software","Tel Aviv, Tel Aviv, Israel","Taliaz is harnessing its proprietary AI platform, PREDICTIX , to improve mental health assessment, management and prescribing decisions.","47,648",2,3545738,EUR,4063948,5113948,USD,5113948
Kind,https://www.crunchbase.com/organization/thekindapp,"Enterprise Software, Health Care, Information Technology, mHealth, Mobile Apps, SaaS, Software","Malmö, Skane Lan, Sweden","Kind is modern and safe technology applied to healthcare – send messages, share knowledge and prepare clients efficiently.","47,877",3,2500000,EUR,2824172,3624173,USD,3624173
PeN Chat,https://www.crunchbase.com/organization/pen-chat,"Communities, Messaging, mHealth, Mobile Apps, Social Network, Virtual Currency","Helsingborg, Skane Lan, Sweden","An Instant Social Messaging App - Search Google Play, type Pen Chat Calls for Free","48,105",2,14000000,SEK,1559901,22313374,SEK,2532445
Fitscript,https://www.crunchbase.com/organization/fitscript,"Diabetes, Fitness, Health Care, mHealth, Software, Therapeutics","New Haven, Connecticut, United States",Fitscript is a digital health firm that has a therapeutic software and app suite for diabetes management based on real-time glucose levels.,"48,220",3,1500000,USD,1500000,6050000,USD,6050000
Klara,https://www.crunchbase.com/organization/klara,"Health Care, mHealth, Software","New York, New York, United States",Klara is an end-to-end virtual care platform that helps healthcare providers stay connected with their patients.,"48,432",8,,,,32000000,USD,32000000
iFit,https://www.crunchbase.com/organization/ifit,"E-Commerce, Fitness, Health Care, mHealth, Mobile Apps, Wellness","Taipei, T'ai-pei, Taiwan",iFit is a website and mobile community that focuses on health and wellness programs.,"48,517",3,3000000,USD,3000000,7970035,USD,7970035
ShapeUp,https://www.crunchbase.com/organization/shape-up-the-nation,"Fitness, Health Care, mHealth, Social Media, Wearables","Providence, Rhode Island, United States","ShapeUp provides clinically-proven, social networking-powered corporate wellness solutions.","48,932",4,5000000,USD,5000000,15500000,USD,15500000
healthbank innovation AG,https://www.crunchbase.com/organization/healthbank,"Health Care, Health Diagnostics, mHealth, Personal Health","Baar, Zug, Switzerland","healthbank, a health-related data transaction platform, allows people across the globe to exchange health data in a secure & compliant way","49,062",4,2800000,CHF,2793017,6258000,CHF,6297731
GraftWorx,https://www.crunchbase.com/organization/graftworx,"Health Care, Health Diagnostics, mHealth","Menlo Park, California, United States",GraftWorx is turning the Internet of Things into the Internet of the Body.,"49,889",6,,,,11106646,USD,11106646
New Ocean Health Solutions,https://www.crunchbase.com/organization/carecam-health-systems,"Health Care, mHealth, Software, Wellness","Conshohocken, Pennsylvania, United States",New Ocean Health Solutions is a software development company that develops enterprise health management platform for its clients.,"50,505",2,2400000,USD,2400000,12400000,USD,12400000
Apricot Forest,https://www.crunchbase.com/organization/apricot-forest,"Apps, Health Care, mHealth, Mobile","Beijing, Beijing, China",Apricot Forest's mobile app provides doctors with patient records,"50,629",4,30000000,USD,30000000,39510000,USD,39510000
First Opinion,https://www.crunchbase.com/organization/first-opinion,"Health Care, iOS, mHealth","San Francisco, California, United States",First Opinion provides easy access to doctors within minutes.,"52,056",4,6000000,USD,6000000,9800000,USD,9800000
BreezoMeter,https://www.crunchbase.com/organization/breezometer,"Artificial Intelligence, Big Data, Developer APIs, mHealth, Software","Haifa, Hefa, Israel",BreezoMeter is the provider of street-level and real-time air quality information.,"53,015",5,30000000,USD,30000000,45050000,USD,45050000
CEIBA TELE ICU,https://www.crunchbase.com/organization/ceiba-tele-icu,"Health Care, mHealth, Software","Istanbul, Istanbul, Turkey",Healthcare Services and Technologies,"53,115",4,1750000,USD,1750000,3302000,USD,3302000
PatientKeeper,https://www.crunchbase.com/organization/patientkeeper,"Electronics, Health Care, Medical, mHealth, Software","Waltham, Massachusetts, United States","PatientKeeper develops apps that help physicians review electronic patient records and prescriptions, and consult with other caregivers.","53,168",12,900000,USD,900000,105426653,USD,105426653
Treatspace,https://www.crunchbase.com/organization/treatspace,"Health Care, Information Technology, mHealth, Social Media","Pittsburgh, Pennsylvania, United States","Treatspace is a platform where they can post accurate, up-to-date, and verifiable facts about their practices.","53,479",5,50000,USD,50000,2984615,USD,2984615
Smart Vision Labs,https://www.crunchbase.com/organization/smart-vision-labs,"Hardware, Health Care, Internet of Things, mHealth, Software","New York, New York, United States",Smart Vision Labs helps optical stores to capture sales by offering remote vision exams and eyewear prescriptions to their customers,"53,747",2,6100000,USD,6100000,6100000,USD,6100000
Sol-ti,https://www.crunchbase.com/organization/shakti-2,"Consumer Goods, Food and Beverage, mHealth","Newport Beach, California, United States","Sol-ti markets a range of healthcare products such as Pure Green, Watermelon Mint, Jasmine Pearl, and Charcoal Lemonade.","54,231",1,3240993,USD,3240993,3240993,USD,3240993
TowerView Health,https://www.crunchbase.com/organization/towerview-health,"Health Care, Medical, mHealth","Philadelphia, Pennsylvania, United States",TowerView Health develops an application for patients to manage medications.,"54,343",4,6701895,USD,6701895,6901895,USD,6901895
"Nivi, Inc.",https://www.crunchbase.com/organization/nivi-inc,"Big Data, Health Care, mHealth","Boston, Massachusetts, United States",Putting people at the center of health care in our conversational marketplace,"55,464",6,1200000,USD,1200000,5002626,USD,5002626
inui Health,https://www.crunchbase.com/organization/inui-health,"Health Care, Health Diagnostics, Medical Device, mHealth, Mobile Apps","Sunnyvale, California, United States",inui Health is a consumer medical diagnostics company that provides urinalysis at home via smartphone.,"55,866",4,6499992,USD,6499992,56159992,USD,56159992
Lively Inc.,https://www.crunchbase.com/organization/lively-formerly-hamlet,"Elderly, Hardware, Internet of Things, mHealth, Software","San Francisco, California, United States",Lively is the connected home health platform that provides a medical alert device older adults actually want to wear,"55,888",2,4800000,USD,4800000,7400000,USD,7400000
Smartlink Health Solutions,https://www.crunchbase.com/organization/smartlink-mobile,"Health Care, Information Technology, mHealth","Cary, North Carolina, United States",Smartlink Health Solutions is a mobile health solution company delivering convenient communication between patients and providers.,"56,347",1,2875970,USD,2875970,2875970,USD,2875970
Connexient,https://www.crunchbase.com/organization/connexient,"Enterprise Software, Location Based Services, mHealth","New York, New York, United States","Connexient is dedicated to creating innovative Indoor Mapping, Navigation and Indoor Location-based Services Solutions.","57,879",5,1600000,USD,1600000,4525000,USD,4525000
FunPep,https://www.crunchbase.com/organization/funpep,"Medical Device, mHealth","Tokyo, Tokyo, Japan",FunPep is an Industry-university collaboration bioventure company.,"57,954",9,1507401000,JPY,14142375,2573001000,JPY,23397411
Noho,https://www.crunchbase.com/organization/noho,"Cloud Computing, Internet of Things, mHealth","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Noho allows people suffering from lymphedema to reduce dynamically their lymphedema whenever and at any time.,"59,013",7,1600000,EUR,1985419,2960000,EUR,3557324
ConnectedHealth,https://www.crunchbase.com/organization/connectedhealth,"Health Care, mHealth, Mobile","Singapore, Central Region, Singapore","A Singapore-based digital health company, ConnectedHealth transforms management of chronic diseases, initially diabetes through SugoSure.","59,033",7,490000,SGD,363326,3779000,SGD,2830930
MamaBear App,https://www.crunchbase.com/organization/mamabear-app,"Apps, iOS, Location Based Services, mHealth, Mobile, Parenting, Social Media, Software","Tampa, Florida, United States",MamaBear is a parent's only minute by minute news feed of their child's most important physical and social activity.,"59,463",3,2000000,USD,2000000,4100000,USD,4100000
eCaring,https://www.crunchbase.com/organization/ecaring,"Elderly, Health Care, Information Technology, mHealth, Software, Telecommunications","New York, New York, United States","eCaring, a web-based care monitoring and management system, enables its users to document trends and problems that should be responded to.","59,473",1,3500000,USD,3500000,3500000,USD,3500000
Tangram Factory,https://www.crunchbase.com/organization/tangram-factory,"Fitness, Health Care, Health Diagnostics, Internet of Things, mHealth, Mobile Devices, Product Design, Sporting Goods","New York, New York, United States","Tangram creates IOT devices and mobile platforms in the health & fitness space, empowering people with active data they can actually use.","61,331",3,194000,USD,194000,3194000,USD,3194000
APDM Wearable Technologies,https://www.crunchbase.com/organization/apdm-wearable-technologies,"Big Data, Clinical Trials, Cloud Computing, Health Care, Health Diagnostics, mHealth, Wearables","Portland, Oregon, United States",A digital health company focused on discovering reliable & sensitive endpoints of disease progression in neurological & chronic diseases. ,"63,770",2,1600000,USD,1600000,6300000,USD,6300000
M-Tiba,https://www.crunchbase.com/organization/m-tiba,"Health Care, mHealth, Wellness","Mombasa, Coast, Kenya",M-Tiba is a wallet platform that allows users to save and accrue funds for any future or ongoing medical emergency. ,"63,804",2,1475000,USD,1475000,2975000,USD,2975000
Visunex Medical Systems,https://www.crunchbase.com/organization/visunex-medical,"Biotechnology, Health Care, Information Technology, Medical, Medical Device, mHealth","Fremont, California, United States","A Fremont, CA-based medical technology company","63,995",1,20000000,USD,20000000,20000000,USD,20000000
Concilio,https://www.crunchbase.com/organization/concilio,"Health Care, Medical, mHealth","Paris, Ile-de-France, France",Concilio is a digital health platform.,"64,619",3,3000000,EUR,3356587,3410433,USD,3410433
Heart Force AG,https://www.crunchbase.com/organization/heart-force-ag,"Health Care, Medical Device, mHealth, Personal Health","Zug, Zug, Switzerland","Heart Force has developed the Cardio Pro, a self-monitoring heart screening device for the early detection and prevention of heart disease.","64,637",5,1000000,USD,1000000,6800000,USD,6800000
Quyi Network,https://www.crunchbase.com/organization/quyi-network,"Consulting, Health Diagnostics, Medical, mHealth, Mobile, Software","Shanghai, Shanghai, China",Quyi Network is a technology company based in China.,"64,904",2,40000000,USD,40000000,50000000,USD,50000000
MediConecta,https://www.crunchbase.com/organization/mediconecta,"Enterprise Software, Health Care, mHealth","Caracas, NA - Venezuela, Venezuela","MediConecta is changing healthcare in LatAm and the US. The app empowers over 2.3M lives to resolve medical issues anywhere, on-demand.","66,648",4,1200000,USD,1200000,4240000,USD,4240000
Append Medical,https://www.crunchbase.com/organization/append-medical,"Health Care, Medical, Medical Device, mHealth","Or Yehuda, Tel Aviv, Israel",Append Medical develops a next-generation transcatheter Left Atrial Appendage (LAA) closure system.,"66,778",1,7400000,USD,7400000,7400000,USD,7400000
Caspar Health,https://www.crunchbase.com/organization/caspar-health,"Health Care, Home Health Care, mHealth, Rehabilitation","Berlin, Berlin, Germany","Effective, recognized, clinically evaluated digital rehabilitation. For everyone - independent of time and location!","67,318",5,9000000,EUR,10649778,19907693,USD,19907693
Elfi Tech,https://www.crunchbase.com/organization/elfi-tech,"Health Care, Home Health Care, Medical Device, mHealth, Sensor, Wearables","Rehovot, HaMerkaz, Israel",FingerPort for Hypertension / Cardiovascular Remote Care and Hemodynamic Monitoring,"67,345",6,2250000,USD,2250000,7950000,USD,7950000
TOM Medications,https://www.crunchbase.com/organization/tom-0e0f,"Health Care, mHealth, Mobile Apps, Personal Health","Uster, Zurich, Switzerland",TOM - Medications - Making therapies easier to follow,"67,816",3,2300000,USD,2300000,3344878,USD,3344878
Andaman7,https://www.crunchbase.com/organization/andaman7,"Biotechnology, Clinical Trials, Health Care, Home Health Care, Information Technology, Medical Device, mHealth, Outpatient Care","Boncelles, Liege, Belgium","Andaman7: a modern ePRO platform, RWE, virtual clinical studies, siteless trials... all that with a connected PHR for patients !","68,936",3,850000,EUR,1003750,2628798,USD,2628798
Diagnotes,https://www.crunchbase.com/organization/diagnotes,"Health Care, Information Technology, mHealth","Indianapolis, Indiana, United States",Diagnotes builds communication tools that reflect the natural communication habits of healthcare professionals and their patients.,"69,049",5,,,,2630000,USD,2630000
EHA Clinics,https://www.crunchbase.com/organization/eha-clinics,"Clinical Trials, Dental, Health Care, Health Diagnostics, Health Insurance, Home Health Care, mHealth, Pharmaceutical",,Integrated Healthcare Provider,"70,186",3,1000000,USD,1000000,4000000,USD,4000000
Blue Marble Health,https://www.crunchbase.com/organization/blue-marble-game,"Health Care, Medical, mHealth, Mobile, Mobile Apps, Software, Wellness","Altadena, California, United States",Blue Marble Health is a digital remote monitoring and analytic platform for telehealth and wellness.,"70,577",9,725915,USD,725915,3415942,USD,3415942
Conversa Health,https://www.crunchbase.com/organization/conversa-health,"Electronic Health Record (EHR), Health Care, mHealth, Software","Portland, Oregon, United States",Conversa is a virtual care platform that provides automated patient engagement and management.,"70,964",10,8000000,USD,8000000,33799998,USD,33799998
Xingren Doctor,https://www.crunchbase.com/organization/xingren-doctor,"Apps, Health Care, Hospitality, mHealth, Mobile","Shanghai, Shanghai, China",Xingren Doctor is a company of group of doctors that manages patients and enables the public to understand health care.,"71,234",2,32000000,USD,32000000,36946089,USD,36946089
Rijuven,https://www.crunchbase.com/organization/rijuven,"Health Care, Health Diagnostics, Medical Device, mHealth","Wexford, Pennsylvania, United States",Rijuven is a medical device company developing portable point-of-care diagnostic devices.,"71,614",6,250000,USD,250000,3781379,USD,3781379
